year,date,state,state_po,state_fips,state_cen,state_ic,county_name,county_fips,office,candidate,party_detailed,party_simplified,writein,candidatevotes,totalvotes,unofficial,stage,special,mode,version
2022,2022-11-08,ALABAMA,AL,1,63,41,AUTAUGA,1001.0,US SENATE,WILL BOYD,DEMOCRAT,DEMOCRAT,False,3814.0,1414238,False,GEN,False,TOTAL,20230920
2022,2022-11-08,ALABAMA,AL,1,63,41,BALDWIN,1003.0,US SENATE,WILL BOYD,DEMOCRAT,DEMOCRAT,False,11478.0,1414238,False,GEN,False,TOTAL,20230920
2022,2022-11-08,ALABAMA,AL,1,63,41,BARBOUR,1005.0,US SENATE,WILL BOYD,DEMOCRAT,DEMOCRAT,False,2620.0,1414238,False,GEN,False,TOTAL,20230920
2022,2022-11-08,ALABAMA,AL,1,63,41,BIBB,1007.0,US SENATE,WILL BOYD,DEMOCRAT,DEMOCRAT,False,971.0,1414238,False,GEN,False,TOTAL,20230920
2022,2022-11-08,ALABAMA,AL,1,63,41,BLOUNT,1009.0,US SENATE,WILL BOYD,DEMOCRAT,DEMOCRAT,False,1130.0,1414238,False,GEN,False,TOTAL,20230920
2022,2022-11-08,ALABAMA,AL,1,63,41,BULLOCK,1011.0,US SENATE,WILL BOYD,DEMOCRAT,DEMOCRAT,False,1827.0,1414238,False,GEN,False,TOTAL,20230920
2022,2022-11-08,ALABAMA,AL,1,63,41,BUTLER,1013.0,US SENATE,WILL BOYD,DEMOCRAT,DEMOCRAT,False,2039.0,1414238,False,GEN,False,TOTAL,20230920
2022,2022-11-08,ALABAMA,AL,1,63,41,CALHOUN,1015.0,US SENATE,WILL BOYD,DEMOCRAT,DEMOCRAT,False,7365.0,1414238,False,GEN,False,TOTAL,20230920
2022,2022-11-08,ALABAMA,AL,1,63,41,CHAMBERS,1017.0,US SENATE,WILL BOYD,DEMOCRAT,DEMOCRAT,False,2997.0,1414238,False,GEN,False,TOTAL,20230920
2022,2022-11-08,ALABAMA,AL,1,63,41,CHEROKEE,1019.0,US SENATE,WILL BOYD,DEMOCRAT,DEMOCRAT,False,761.0,1414238,False,GEN,False,TOTAL,20230920
2022,2022-11-08,ALABAMA,AL,1,63,41,CHILTON,1021.0,US SENATE,WILL BOYD,DEMOCRAT,DEMOCRAT,False,1407.0,1414238,False,GEN,False,TOTAL,20230920
2022,2022-11-08,ALABAMA,AL,1,63,41,CHOCTAW,1023.0,US SENATE,WILL BOYD,DEMOCRAT,DEMOCRAT,False,1899.0,1414238,False,GEN,False,TOTAL,20230920
2022,2022-11-08,ALABAMA,AL,1,63,41,CLARKE,1025.0,US SENATE,WILL BOYD,DEMOCRAT,DEMOCRAT,False,3613.0,1414238,False,GEN,False,TOTAL,20230920
